parcel_id,ai_score,ai_tier,recommendation,bid_strategy_note,reasoning_summary,crime_economic_summary,key_risks,missing_information,next_due_diligence_step,confidence_level
00575-93-06-01170,5.18,Tier 3 Watch,Drive By,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 3910.27 for parcel 00575-93-06-01170 at 511 S VICTOR AV E falls into Tier 3 Watch because crime risk is Unknown and economic risk is Unknown; confidence level is Low due to fallback or missing data.,Crime risk is Unknown with Medium confidence. Economic risk is Unknown with Low confidence.,No major red flags beyond normal tax-auction uncertainty.,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"Medium priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Low
34300-03-32-15230,5.39,Tier 3 Watch,Drive By,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 3005.69 for parcel 34300-03-32-15230 at 135 N COLUMBIA AV E falls into Tier 3 Watch because crime risk is Unknown and economic risk is Unknown; confidence level is Low due to fallback or missing data.,Crime risk is Unknown with Medium confidence. Economic risk is Unknown with Low confidence.,No major red flags beyond normal tax-auction uncertainty.,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"Medium priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Low
44200-02-11-04390,5.38,Tier 3 Watch,Drive By,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 3075.02 for parcel 44200-02-11-04390 at 4696 N BOULDER AV W falls into Tier 3 Watch because crime risk is Unknown and economic risk is Unknown; confidence level is Low due to fallback or missing data.,Crime risk is Unknown with Medium confidence. Economic risk is Unknown with Low confidence.,No major red flags beyond normal tax-auction uncertainty.,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"Medium priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Low
34750-02-26-08160,5.37,Tier 3 Watch,Drive By,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 3097.02 for parcel 34750-02-26-08160 at 2507 N MAIN ST E TULSA falls into Tier 3 Watch because crime risk is Unknown and economic risk is Unknown; confidence level is Low due to fallback or missing data.,Crime risk is Unknown with Medium confidence. Economic risk is Unknown with Low confidence.,No major red flags beyond normal tax-auction uncertainty.,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"Medium priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Low
23175-03-30-13610,6.51,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 3115.02 for parcel 23175-03-30-13610 at 2526 N QUAKER AV E falls into Tier 2 Strong Review because crime risk is Unknown and economic risk is High; confidence level is Medium due to fallback or missing data.,Crime risk is Unknown with Medium confidence. Economic risk is High with High confidence.,weak economic context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium
53775-02-02-00220,6.67,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 3140.32 for parcel 53775-02-02-00220 at 6105 N MAIN ST E TULSA falls into Tier 2 Strong Review because crime risk is Unknown and economic risk is High; confidence level is Medium due to fallback or missing data.,Crime risk is Unknown with Medium confidence. Economic risk is High with High confidence.,weak economic context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium
07600-02-24-01200,6.71,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 3152.35 for parcel 07600-02-24-01200 at 820 E 36 ST N falls into Tier 2 Strong Review because crime risk is Unknown and economic risk is High; confidence level is Medium due to fallback or missing data.,Crime risk is Unknown with Medium confidence. Economic risk is High with High confidence.,weak economic context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium
44200-02-14-06630,6.7,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 3183.01 for parcel 44200-02-14-06630 at 18 E 44 PL N falls into Tier 2 Strong Review because crime risk is Unknown and economic risk is Medium; confidence level is Medium due to fallback or missing data.,Crime risk is Unknown with Medium confidence. Economic risk is Medium with High confidence.,No major red flags beyond normal tax-auction uncertainty.,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium
07675-02-13-01140,6.79,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 3245.67 for parcel 07675-02-13-01140 at 4018 N GARRISON AV E falls into Tier 2 Strong Review because crime risk is Unknown and economic risk is Medium; confidence level is Medium due to fallback or missing data.,Crime risk is Unknown with Medium confidence. Economic risk is Medium with High confidence.,No major red flags beyond normal tax-auction uncertainty.,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium
17675-02-24-07570,6.67,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 3310.33 for parcel 17675-02-24-07570 at 750 E 32 PL N falls into Tier 2 Strong Review because crime risk is Unknown and economic risk is High; confidence level is Medium due to fallback or missing data.,Crime risk is Unknown with Medium confidence. Economic risk is High with High confidence.,weak economic context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium
25500-03-29-06060,6.63,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 3310.33 for parcel 25500-03-29-06060 at 2625 E TECUMSEH ST N falls into Tier 2 Strong Review because crime risk is Unknown and economic risk is High; confidence level is Medium due to fallback or missing data.,Crime risk is Unknown with Medium confidence. Economic risk is High with High confidence.,weak economic context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium
