parcel_id,ai_review_score,investment_category,manual_review_flag,recommendation,development_opportunity_flag,development_opportunity_reason,reasoning_summary,key_risks,missing_information,next_due_diligence_step,confidence_level
40850-02-12-06130,7.2,Strong Manual Review Candidate,True,Research First,False,"The only cited development (Meta Tulsa Data Center at Fair Oaks Innovation Park) has no clear geographic overlap with this parcel; development match strength is explicitly noted as No Clear Match, so it should not be treated as a direct upside driver.","The parcel at 641 E 50 ST N in Tulsa is a residential improvement (R IMP) lot in the Suburban Acres Third Addition with a low bid cost of 3005.03 and high extraction confidence. Address and parcel data are clear, and the rule-based system already flags it as a Strong Manual Review Candidate with a score of 6.8. However, the matched Meta data center project has no street, neighborhood, or ZIP overlap, so development-driven appreciation is uncertain. Missing ZIP and unknown surrounding value/crime conditions introduce risk but do not negate the appeal of the low entry price and clear property type.",ZIP code is unknown; no confirmed overlap with major development activity; surrounding value and crime risk are both unknown; owner listed as Unknown may indicate title or notification complexities; development signal is explicitly Low despite a large regional project.,Exact ZIP code; detailed neighborhood and surrounding property values; current condition of the residential improvement; occupancy status; title status and any additional liens; local crime and code enforcement history.,"Verify the precise location and ZIP, pull county records for structure details and any additional liens, and review neighborhood sales and condition to confirm whether the low bid aligns with realistic resale or rental potential.",High
34300-03-32-15230,7.2,Strong Manual Review Candidate,True,Research First,False,Meta Tulsa Data Center at Fair Oaks Innovation Park has no clear geographic overlap with this parcel; development signal is explicitly Low with No Clear Match.,"The parcel at 135 N COLUMBIA AV E in Tulsa is a residential improvement (R IMP) with a relatively low bid cost of 3005.69 and a clean, specific legal description (LT 24 BLK 4 REDDIN ADDN, CITY OF TULSA). Address and parcel data quality are high, and the rule-based system already scores it 6.8 and labels it a Strong Manual Review Candidate. However, the associated large-scale Meta data center project has no street, neighborhood, or ZIP overlap, so it does not materially enhance this parcel’s priority. The combination of low entry cost, clear property type, and strong data quality justifies manual review, but not a Good Investment classification without more information on surrounding values and condition.",ZIP code and neighborhood context are unknown; no confirmed development or infrastructure improvements directly tied to this location; surrounding value and crime risk are unknown; property condition and occupancy status are not provided.,Exact ZIP code; neighborhood and market context; current structure condition; occupancy/tenancy status; any code violations or liens beyond tax; recent comparable sales or assessed value trends; confirmation of utility access and zoning details beyond R IMP classification.,"Verify the precise location and ZIP, pull county assessor and GIS records for structure details and assessed value, and review neighborhood sales and rental data to determine whether the low bid cost of 3005.69 reflects distress, location risk, or simply tax delinquency.",High
29675-03-07-09890,7.2,Strong Manual Review Candidate,True,Research First,False,The only cited development (Meta Tulsa Data Center at Fair Oaks Innovation Park) has no clear geographic overlap with this parcel; development signal is explicitly Low.,"The parcel at 2017 E 49 ST N in Tulsa is a residential improvement (R IMP) lot in the City of Tulsa, NORTHRIDGE SECOND ADDN AMD, with a relatively low bid cost of 3010.10 and high extraction/data confidence. Address and parcel data are complete and clear, and the rule-based system scores it 6.8 and labels it a Strong Manual Review Candidate. However, the matched development intelligence has no clear street, neighborhood, or ZIP overlap, so it does not materially raise the priority beyond the already strong rule-based signals.",ZIP code is unknown; surrounding value and crime risk are unknown; no confirmed development or infrastructure improvements directly tied to this specific neighborhood; development upside not clearly supported by the cited Meta/Fair Oaks project.,Exact ZIP code; detailed neighborhood and surrounding property values; condition and specifics of the residential improvement; zoning confirmation beyond R IMP label; any liens or encumbrances beyond tax status; local crime and rental/owner-occupancy context.,"Confirm the exact ZIP and map the parcel within Tulsa to assess neighborhood quality and comparable property values, then verify the nature and condition of the residential improvement and check for any additional liens or title complications beyond the tax auction.",High
16250-92-05-01100,7.2,Strong Manual Review Candidate,True,Research First,False,Meta Tulsa Data Center at Fair Oaks Innovation Park has no clear geographic overlap with this parcel; development signal is explicitly Low with No Clear Match.,"The parcel at 426 S 55 AV W in Tulsa is a residential improvement (R IMP) lot in the City of Tulsa with a low bid cost of 3012.36 and a straightforward legal description (LT 6 BLK 5, GLEN ACRES SUB-WEKIWA). Address and parcel data quality are strong and extraction confidence is high, which supports further review. However, the matched development (Meta data center in East Tulsa) has no street, neighborhood, or ZIP overlap, so it does not currently enhance this parcel’s priority. Overall risk/return profile is driven mainly by the low entry cost and clear usability rather than documented external growth catalysts.","ZIP code is unknown; no clear evidence of nearby public or private investment; development signal is Low with no corridor or neighborhood match; surrounding value and crime risk are both unknown, increasing uncertainty about long-term value and liquidity.",Exact ZIP code; any comps or surrounding value indicators; confirmation of current structure condition despite R IMP classification; zoning details beyond generic residential improvement; any local infrastructure or neighborhood improvement projects specific to Glen Acres / Wekiwa area.,"Verify the precise location and ZIP, confirm zoning and allowed residential uses for LT 6 BLK 5 in GLEN ACRES SUB-WEKIWA, and obtain on-the-ground or imagery-based assessment of existing improvements and neighborhood conditions to validate that the low bid cost aligns with acceptable physical and market risk.",High
41025-02-01-06220,7.2,Strong Manual Review Candidate,True,Research First,False,Meta Tulsa Data Center at Fair Oaks Innovation Park has no clear geographic overlap with this parcel; development signal is explicitly Low with No Clear Match.,"The parcel at 5914 N ELGIN AV E in the City of Tulsa is classified as R IMP (residential improved) with a clear legal description (LT 2 BLK 16 SUBURBAN HILLS ADDN) and high extraction confidence. The bid cost of 3015.03 is relatively low, and rule-based scoring (6.8) already flags it as a Strong Manual Review Candidate. However, ZIP and surrounding value data are unknown, and the only cited development (Meta data center in East Tulsa) has no street, neighborhood, or ZIP overlap, so it does not materially enhance this parcel’s priority.",Unknown ZIP and surrounding value; no clear supporting development or infrastructure investment nearby; crime risk and neighborhood quality are unknown; upside is based mainly on low bid and clear residential status rather than documented market momentum.,Exact ZIP code; neighborhood and surrounding property values; physical condition of improvements; occupancy status; code enforcement or nuisance history; detailed crime and school context; confirmation of utilities and access.,"Manually verify the parcel’s exact location and ZIP, inspect or obtain recent imagery of the structure and lot, and pull nearby sales/assessed values to gauge whether the low bid cost aligns with local residential values and risk.",High
41025-02-01-01230,7.2,Strong Manual Review Candidate,True,Research First,False,"The only cited project is the Meta Tulsa Data Center at Fair Oaks Innovation Park, which has no clear street, neighborhood, or ZIP overlap with this parcel; development signal is therefore low despite strong citywide investment momentum.","The parcel at 5607 N FRANKFORT AV E in Tulsa is a residential improvement (R IMP) lot in the Suburban Hills Addition with a relatively low bid cost of 3,021.69 and high extraction confidence. Address and parcel data are clear, supporting basic usability. Rule-based scoring (6.8) already flags it as a Strong Manual Review Candidate. However, the ZIP is unknown and there is no confirmed overlap with the major Meta/Fair Oaks development, so broader development upside is not clearly supported. These factors justify manual review rather than immediate promotion to a higher investment category.",Unknown ZIP and surrounding value context; no clear development overlap with the cited Meta/Fair Oaks project; crime risk and neighborhood quality are unknown; ownership listed as Unknown may indicate potential title or notification complexities.,Exact ZIP code; detailed neighborhood and surrounding property values; condition of the residential improvement; confirmation of occupancy status; title status and any additional liens beyond the tax auction; local crime and code enforcement history.,"Confirm the precise location and ZIP, then pull county records for structure details, occupancy, and any additional liens or code issues; follow with a quick market check on comparable properties in Suburban Hills Addition to gauge resale or rental potential.",High
34300-03-32-14790,7.2,Strong Manual Review Candidate,True,Research First,False,"Meta Tulsa Data Center at Fair Oaks Innovation Park has no clear street, neighborhood, or ZIP overlap with this parcel, so current development intelligence does not directly enhance this property’s priority.","The parcel at 124 N DELAWARE AV E in Tulsa is a residential improved property (R HS IMP) with a relatively low bid cost of 3029.62 and a clear legal description (LT 10 BLK 3 REDDIN ADDN, CITY OF TULSA). Address and parcel data quality are high, and the rule-based system already flags it as a Strong Manual Review Candidate. However, the matched development (Meta data center at Fair Oaks Innovation Park) has no clear locational overlap, so development-driven upside is not supported by the provided data.",ZIP code is unknown; no confirmed surrounding value or crime risk data; development signal is low due to no clear match with the cited industrial/data center project; broader neighborhood conditions and property condition are unknown.,Exact ZIP code; on-the-ground property condition; neighborhood quality and surrounding property values; occupancy status; any liens or structural issues beyond tax status.,"Verify exact location and ZIP, then perform a street-level and mapping review of 124 N DELAWARE AV E and the REDDIN ADDN block to assess physical condition, neighborhood context, and comparable values before bidding.",High
26725-02-25-17680,7.2,Strong Manual Review Candidate,True,Research First,False,"The only cited project is the Meta Tulsa Data Center at Fair Oaks Innovation Park, which has no clear street, neighborhood, or ZIP overlap with this parcel; development signal is explicitly Low.","Bid cost is relatively low at 3047.69 for a residential improvement (R IMP) lot with a complete address and high extraction confidence, which supports manual review. Rule-based scoring already flags it as a Strong Manual Review Candidate. However, the development intelligence shows no clear match to the major Meta data center project and explicitly notes a Low development signal, so broader growth or infrastructure upside cannot be assumed. ZIP and surrounding value are unknown, adding location risk despite decent data quality.","Unknown ZIP and surrounding value; no confirmed overlap with major development activity; development upside not clearly supported; crime risk unknown; owner listed as Unknown, which may complicate title or notification history.",Exact ZIP code; neighborhood and surrounding property values; current physical condition of the residential improvement; occupancy status; any code violations or liens beyond taxes; crime and school context.,"Verify parcel location and ZIP in county GIS, then pull recent sales and assessed values for nearby parcels in the Meadowbrook Addn to gauge surrounding value and confirm whether the existing improvement has meaningful structure value or is functionally a land-only play.",High
29775-02-26-04910,7.2,Strong Manual Review Candidate,True,Research First,False,Meta Tulsa Data Center at Fair Oaks Innovation Park has no clear geographic overlap with this parcel; development signal is explicitly Low and match strength is No Clear Match.,"The parcel at 2220 N DENVER BV W is a residential improvement (R IMP) lot in the City of Tulsa with a low bid cost of 3,047.69 and high extraction/data confidence. Address and parcel data are clear, and the rule-based system already flags it as a Strong Manual Review Candidate with a score of 6.8. However, ZIP and surrounding value are unknown, and there is no confirmed nearby development linkage, so it cannot be elevated to Good Investment based on current information.","Unknown ZIP and surrounding value; no clear development overlap or documented upside; crime risk unknown; physical condition of the residential improvement is unknown; potential title, code, or occupancy issues not visible in tax auction data.",Exact ZIP code; detailed neighborhood and surrounding property values; physical condition of the structure and lot; occupancy status; code enforcement or nuisance history; any liens or encumbrances beyond tax delinquency; recent sales or rental comps in the immediate area.,"Obtain the precise ZIP and map the parcel to confirm neighborhood context, then pull recent sales and rental comps around 2220 N DENVER BV W and verify structure condition via drive-by or current imagery before bidding above the minimum.",High
41025-02-01-04500,7.1,Strong Manual Review Candidate,True,Research First,False,Matched development (Meta Tulsa Data Center at Fair Oaks Innovation Park) has no clear geographic overlap with this parcel; development signal is explicitly Low.,"The parcel at 537 E 59 PL N in Tulsa is a residential improvement (R IMP) lot in the Suburban Hills Addition with a reported size of 7,680 and a low bid cost of 3,047.69. Address and parcel data quality are strong and extraction confidence is high, which supports further review. However, the ZIP code is unknown and there is no clear overlap with the cited Meta data center development, so broader upside from nearby investment is not supported by the provided data.","Unknown ZIP code; no confirmed surrounding value or crime context; development upside not clearly supported by the Meta data center project; only basic physical details provided (no structure condition, occupancy, or access verification).","ZIP code; detailed property characteristics (year built, building condition, bed/bath count, utilities); neighborhood and surrounding value indicators; crime and code enforcement history; confirmation of access, zoning specifics, and any liens or encumbrances beyond the tax issue.","Manually verify the exact location and ZIP, then pull county assessor records for structure details and recent valuations, followed by a check of zoning, access, and any additional liens or code issues to confirm that the low bid aligns with usable residential value.",High
