parcel_id,development_match_strength,matched_development_area,matched_project_or_area_name,matched_project_type,matched_investment_signal_strength,development_source_url,development_source_title,development_summary,development_match_reason,development_confidence
40850-02-12-06130,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
34300-03-32-15230,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
29675-03-07-09890,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
16250-92-05-01100,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
41025-02-01-06220,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
41025-02-01-01230,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
34300-03-32-14790,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
26725-02-25-17680,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
29775-02-26-04910,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
41025-02-01-04500,No Clear Match,Fair Oaks Innovation Park,Meta Tulsa Data Center at Fair Oaks Innovation Park,Industrial/Data Center,High,https://partnertulsa.org/meta-breaks-ground-on-new-1-billion-data-center-in-tulsa/,Meta Breaks Ground on New $1 Billion Data Center in Tulsa - PartnerTulsa,"Meta broke ground on a more than $1 billion data center in East Tulsa at Fair Oaks Innovation Park, with more than $25 million in local infrastructure improvements and major industrial investment momentum.","No street, corridor, neighborhood, or ZIP overlap found",High
