parcel_id,ai_review_score,investment_category,manual_review_flag,recommendation,development_opportunity_flag,development_opportunity_reason,reasoning_summary,key_risks,missing_information,next_due_diligence_step,confidence_level
40850-02-12-06130,7.2,Strong Manual Review Candidate,True,Research First,False,nan,"The parcel at 641 E 50 ST N in Tulsa is classified as residential improved (R IMP) with a bid cost of 3005.03 and a clear legal description (LT 4 BLK 2, SUBURBAN ACRES THIRD ADDN, CITY OF TULSA). Rule-based scoring flags it as a strong manual review candidate due to strong bid price signal, complete address, and strong property clarity, while data confidence is high. However, strict development matching finds no clear nearby public or private investment activity, so any development upside is unsubstantiated. Overall, the combination of low entry cost and improved residential status justifies manual review, but not a positive development thesis.","ZIP code is unknown; no confirmed surrounding value or crime risk data; no clear development or revitalization projects identified nearby; ownership details are unclear (owner name unknown), which may signal potential title or notification complexities.",Exact ZIP code; current market value and condition of the improvement; neighborhood crime and rental/owner-occupancy context; any code violations or liens beyond taxes; confirmation of utilities and access; verification of current occupancy status.,"Pull county assessor and recorder records for this parcel to confirm structure details, market value, liens, and ownership history, then pair with a basic street-level or satellite review to assess physical condition and neighborhood context before setting a maximum bid threshold.",High
34300-03-32-15230,7.2,Strong Manual Review Candidate,True,Research First,False,nan,"The property at 135 N COLUMBIA AV E in Tulsa is a residential improvement (R IMP) with a bid cost of 3005.69 against a listed 7,000 value, generating a strong rule-based score (6.7) and classification as a Strong Manual Review Candidate. Address and parcel data quality are high, and the legal description is clear (LT 24 BLK 4, REDDIN ADDN, CITY OF TULSA). However, there is no verified development overlap, ZIP is unknown, and surrounding value and crime risk are not provided, so the asset appears potentially attractive on pricing and clarity alone but requires human verification.",Unknown ZIP code; no confirmed development or corridor match; surrounding value and crime risk are unknown; actual condition of the residential improvement is not provided; ownership details are unclear (owner name unknown).,Exact ZIP code; current physical condition of the structure; detailed neighborhood and surrounding value data; crime and nuisance profile; title status and any additional liens beyond the tax auction; confirmation of utilities and access.,"Manually verify parcel location and ZIP, inspect recent imagery or perform a drive-by to assess structure condition, and pull local sales and rent comparables for the REDDIN ADDN area to validate whether the low bid cost versus stated value reflects real discount or hidden issues.",Medium
29675-03-07-09890,7.2,Strong Manual Review Candidate,True,Research First,False,nan,"The parcel at 2017 E 49 ST N in Tulsa is a residential improvement (R IMP) with a relatively low bid cost of 3010.10 and high extraction/data confidence. Address and property clarity are strong, and rule-based scoring categorizes it as a strong manual review candidate. However, there is no verified nearby public or private development activity tied to this specific area, so any development-driven upside is uncertain. Overall, the combination of low entry cost and clear residential use justifies manual review, but not classification as a strong investment without further checks.","ZIP code is unknown, limiting precise neighborhood and value context; no clear strict development overlap or documented investment activity to support appreciation assumptions; surrounding value and crime risk are unknown; owner listed as Unknown may indicate potential title or notification complexities.","Exact ZIP code and neighborhood context; current physical condition of the improvement; occupancy status; market rent and sales comparables; title status and any additional liens beyond tax; local crime and nuisance factors; code enforcement or demolition history, if any.","Confirm exact ZIP and neighborhood, pull recent sales and rent comps for similar residential properties nearby, and obtain a title report to identify any non-tax liens or legal complications before bidding.",Medium
16250-92-05-01100,6.7,Strong Manual Review Candidate,True,Research First,False,nan,"The parcel at 426 S 55 AV W in Tulsa is a residential improvement (R IMP) with a relatively low bid cost of 3012.36 and high data confidence, making it a strong manual review candidate. Address and property details are clear, but there is no confirmed development match or documented surrounding value signal, and the ZIP is unknown. Overall, it merits closer review on asset condition and local market context, but not on the basis of proven development momentum.","No clear development overlap or verified surrounding value signal; ZIP code is unknown, limiting precise location and comp analysis; development signal is low; potential that the low bid reflects condition, neighborhood, or marketability issues that are not visible in the provided data.",Exact ZIP code; detailed neighborhood context; property condition and occupancy status; any code violations or liens beyond tax; rental and sales comparables; confirmation of any nearby infrastructure or private projects not captured in the strict development matching.,"Manually confirm exact location and ZIP, then pull local sales/rent comps and property condition data (inspection or recent photos) to determine whether the low bid cost for this residential improvement aligns with typical values in the immediate area.",High
41025-02-01-06220,7.2,Strong Manual Review Candidate,True,Research First,False,nan,"The parcel at 5914 N ELGIN AV E in the City of Tulsa (SUBURBAN HILLS ADDN, LT 2 BLK 16) is a residential improvement (R IMP) with a relatively low bid cost of 3015.03 and high extraction/data confidence. Address and property clarity are strong, and the rule-based system flags it as a Strong Manual Review Candidate with a score of 6.7. However, there is no clear strict development overlap and development match quality is low, so no development-driven upside can be assumed. Overall, the combination of low entry cost and clear residential status justifies manual review, but not a positive development classification.","ZIP code is unknown; no verified surrounding development or investment activity; development signal is low; surrounding value and crime risk are unknown; owner name is unknown, which may complicate title or redemption research.","Exact ZIP code; detailed property condition; structure details (unit count, square footage, year built); current occupancy status; liens or other encumbrances; neighborhood crime and value trends; any nearby public or private projects not captured in the strict development matching.","Confirm parcel details with county records (including ZIP and structure characteristics), pull title and lien history, and obtain on-the-ground or recent imagery-based condition and neighborhood assessment before bidding.",High
41025-02-01-01230,6.7,Strong Manual Review Candidate,True,Research First,False,nan,"The parcel at 5607 N FRANKFORT AV E in the Suburban Hills Addition is a residential improvement (R IMP) with a relatively low bid cost of 3021.69 and high extraction confidence, making it a strong manual review candidate. Address and property details are clear, but there is no confirmed surrounding value signal, crime estimate, or credible development match, and the ZIP is unknown. The rule-based system still scores it 6.7 and flags it as a strong manual review candidate, driven mainly by price and data clarity rather than proven area growth.",Unknown ZIP code; no clear strict development overlap or documented investment activity; surrounding value and crime risk are unknown; owner listed as unknown may indicate title or contact complexity.,Exact ZIP code; any recent sales or value indicators for Suburban Hills Addition; condition of the residential improvement; occupancy status; title status and liens beyond tax; neighborhood crime and rental/owner-occupant mix.,"Manually confirm parcel location and ZIP, pull county records for structure details and liens, and obtain on-the-ground or street-level condition assessment for the improvement in Suburban Hills Addition.",Medium
34300-03-32-14790,7.2,Strong Manual Review Candidate,True,Research First,False,nan,"The property at 124 N DELAWARE AV E (Parcel 34300-03-32-14790) is an improved residential parcel (R HS IMP) within the City of Tulsa, with a relatively low bid cost of 3029.62 and high data confidence. Address and legal description (LT 10 BLK 3, REDDIN ADDN, CITY OF TULSA) are clear, supporting basic investability and ease of locating the asset. Rule-based scoring (6.7) already flags it as a strong manual review candidate. However, strict development matching finds no clear overlap with known projects, development signal is low, ZIP and surrounding value context are unknown, and crime risk is not estimated. These gaps prevent classifying it as a clearly strong or development-driven investment, but the combination of low entry cost and improved residential status justifies human follow-up.","ZIP code and neighborhood context are unknown; no confirmed nearby development or investment activity; surrounding value signal is unknown; crime risk is unknown; owner name is listed as Unknown, which may indicate title or contact complexity; development match quality is low with no clear match, limiting confidence in appreciation driven by external projects.",Exact ZIP code and neighborhood context; recent comparable values or assessed value trends; condition of the residential improvements; occupancy status; title status and any liens beyond tax delinquency; local crime and nuisance conditions; zoning specifics and any code enforcement issues.,Confirm parcel location and neighborhood by obtaining the ZIP and mapping 124 N DELAWARE AV E; pull county assessor records for structure details and valuation; check title for additional liens or encumbrances; and review local code enforcement or nuisance records to assess condition and risk before bidding.,Medium
26725-02-25-17680,7.2,Strong Manual Review Candidate,True,Research First,False,nan,"The parcel at 412 E UTE ST N (LOT-3-BLK-6, MEADOWBROOK ADDN, City of Tulsa) is an improved residential property with a relatively low bid cost of 3,047.69 and high extraction confidence. Rule-based scoring categorizes it as a Strong Manual Review Candidate, driven by strong bid price and property clarity signals. However, strict development matching found no clear nearby public or private investment activity, and the development signal is low, so any upside must be evaluated on property-specific merits rather than area-wide projects.","ZIP code is unknown, limiting precise location and comp analysis; no clear development or revitalization projects are matched to this parcel or its immediate area; surrounding value and crime risk are unknown; owner information is listed as Unknown, which may indicate title or notification complexities.",Exact ZIP code; detailed neighborhood context; structure details and condition for this R IMP parcel; surrounding property values and market demand; crime and nuisance indicators; any liens or encumbrances beyond tax delinquency.,"Manually confirm the exact location and ZIP for 412 E UTE ST N, then pull parcel card and assessor data to verify structure type, condition, and assessed value, followed by a check of title, liens, and neighborhood sales to determine whether the low bid cost offers sufficient margin.",Medium
29775-02-26-04910,7.2,Strong Manual Review Candidate,True,Research First,False,nan,"The property at 2220 N DENVER BV W (LT 21 BLK 8, OAK CLIFF ADDN, City of Tulsa) is a residential improvement parcel with a relatively low bid cost of 3047.69 and high extraction confidence. Rule-based scoring is 6.7 and categorizes it as a Strong Manual Review Candidate, supported by complete address data and strong property clarity. However, strict development matching found no clear overlapping project or corridor, and development signal is explicitly low, so any development upside is unsubstantiated at this stage.","ZIP code is unknown, limiting precise neighborhood and value benchmarking; no clear strict development overlap or documented investment activity nearby; development signal is low; surrounding value and crime risk are unknown; owner name is unknown, which may indicate potential title or notification complexities.","Exact ZIP code; detailed neighborhood and market comps; structure condition and occupancy status; lot size and building square footage beyond the 9,180 figure in the raw text; title status and any liens beyond taxes; zoning confirmation for current and potential uses; utilities and access details; code enforcement or nuisance history.","Confirm parcel details with Tulsa County records (including ZIP, zoning, lot dimensions, and any structures), then obtain recent sales and rent comps for the Oak Cliff Addition area to test whether the low bid cost of 3047.69 offers sufficient margin after estimated rehab or demolition costs.",High
41025-02-01-04500,7.2,Strong Manual Review Candidate,True,Research First,False,nan,"The parcel at 537 E 59 PL N in Tulsa is a residential improvement (R IMP) lot in the SUBURBAN HILLS ADDN with a relatively low bid cost of 3,047.69 and high extraction/data confidence. Address and property clarity are strong, and rule-based scoring (6.7) already flags it as a strong manual review candidate. However, there is no clear strict development overlap, no ZIP code, and surrounding value and crime risk are unknown, so any development upside cannot be assumed.",No ZIP code provided; no confirmed development or corridor match; surrounding value and crime risk are unknown; ownership listed as Unknown may indicate title or notification complexities.,"ZIP code, detailed neighborhood context, condition of the residential improvement, current occupancy status, liens or other encumbrances beyond tax delinquency, and any recent sales or value indicators for nearby parcels.","Manually verify parcel location and ZIP, pull county records for structure details and any additional liens, and review recent nearby sales or assessed values to gauge realistic resale or rental potential.",High
