parcel_id,ai_score,ai_category,recommendation,reasoning_summary,key_risks,missing_information,next_due_diligence_step,confidence_level
20075-03-31-12460,8.7,Top Candidate,Research First,"Bid cost 1545.17, property type R IMP, address 723 N ST LOUIS AV E, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
47175-03-29-18430,8.7,Top Candidate,Research First,"Bid cost 1549.17, property type R HS IMP, address 1903 N FLORENCE PL E, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
34800-02-25-22520,8.7,Top Candidate,Research First,"Bid cost 1550.20, property type R HS IMP, address 245 E YOUNG ST N, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
54800-91-35-00300,8.7,Top Candidate,Research First,"Bid cost 1555.17, property type R IMP, address 5812 S 105 AV W, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
21350-03-30-12590,8.7,Top Candidate,Research First,"Bid cost 1561.84, property type R IMP, address 1527 N XANTHUS AV E, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
21850-03-17-04520,8.7,Top Candidate,Research First,"Bid cost 1580.87, property type R HS IMP, address 2863 E 45 ST N, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
38675-93-10-06110,8.4,Top Candidate,Research First,"Bid cost 1603.63, property type R HS IMP, address 1321 S DARLINGTON AV E, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
47650-03-19-08630,8.4,Top Candidate,Research First,"Bid cost 1609.17, property type R IMP, address 2689 N QUAKER AV E, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
53850-02-02-04160,8.4,Top Candidate,Research First,"Bid cost 1609.65, property type R IMP, address 6229 N DENVER AV W, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
57925-73-13-00280,8.4,Top Candidate,Research First,"Bid cost 1611.13, property type R HS IMP, address 120 E JEFFERSON ST N, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
23175-03-30-13240,8.4,Top Candidate,Research First,"Bid cost 1612.50, property type R IMP, address 2507 N QUINCY AV E, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
40250-03-31-14910,8.4,Top Candidate,Research First,"Bid cost 1613.17, property type R IMP, address 1945 E NEWTON ST N, and residential likelihood High drive this screen.",None observed,zip_code; owner_name,"Verify title/liens, inspect the parcel visually, and confirm assessor and map details before bidding.",High
