parcel_id,final_ai_review_score,final_investment_category,final_manual_review_flag,final_recommendation,final_development_opportunity_flag,final_development_opportunity_reason,final_reasoning_summary,final_key_risks,final_missing_information,final_next_due_diligence_step,final_confidence_level
92224-22-24-13020,7.7,Mid Investment,True,Watch,True,"Possible but unverified upside: the parcel at 15100 N PEORIA AV has a Possible Match to the Tulsa Market District / NOMA residential hub based on partial corridor name overlap (PEORIA), with high development-match confidence but no verified distance or proximity.","The property at 15100 N PEORIA AV (parcel 92224-22-24-13020) has a low bid cost of 3059.81 and strong property clarity and address quality, producing a strong manual review score of 7.7 with high overall data confidence. The development signal is only a Possible Match to the Tulsa Market District / NOMA residential hub, based on corridor-name overlap without confirmed proximity, so it suggests potential but not confirmed upside. ZIP and precise location remain unknown due to failed geocoding, which limits certainty and keeps this in the Mid Investment category rather than Good Investment.",Unknown ZIP and failed geocoding prevent precise location and proximity analysis; development linkage to Tulsa Market District / NOMA is not distance-verified; owner name and city are unknown; crime risk is unknown.,Exact geocoded location and ZIP code; verified distance to the Tulsa Market District / NOMA area; surrounding land use and comparable values; confirmation of current improvements for A HS IMP; title and lien status beyond tax auction.,"Manually geolocate 15100 N PEORIA AV, confirm the exact parcel boundaries and ZIP, and then measure distance and connectivity to the Tulsa Market District / NOMA corridor to validate whether the Possible Match development signal represents real, localizable upside.",High
11000-83-06-00270,6.9,Mid Investment,True,Watch,False,nan,"Parcel 11000-83-06-00270 at 1394 E 66 PL S shows a relatively low bid cost of 3946.95 and clear residential-improvement classification (R HS IMP), with High extraction and geocode data confidence. The corrected development match status is No Clear Match despite an initial possible corridor overlap with the Tulsa Market District / NOMA area, so development is not counted as a positive signal. Given the Strong Manual Review Candidate rule-based score of 6.9 and solid address/property clarity but unknown ZIP and surrounding value, this is a mid-tier prospect that warrants deeper manual review rather than an automatic buy.","ZIP unknown; surrounding value signal unknown; development upside not verified due to No Clear Match status; owner listed as Unknown, which may complicate title or notification history.",Exact ZIP code; current market value and comps for this block; condition of existing residential improvements; neighborhood crime and demand indicators; any liens or encumbrances beyond the tax auction; confirmation of proximity to any active redevelopment zones.,"Manually confirm the precise ZIP and neighborhood context, pull recent comparable sales and assessed values around 1394 E 66 PL S, and obtain a title report to check for additional liens or issues before considering a bid at or above 3946.95.",High
91236-12-36-50430,6.5,Mid Investment,True,Watch,False,nan,"The rule-based score of 6.5 and category Strong Manual Review Candidate indicate this parcel merits further review. Property data quality is high: parcel_id 91236-12-36-50430, address 6834 N PEORIA AV E, property type C IMP, and high extraction and geocode confidence. The bid cost of 4220.53 is moderate for a commercial-improvement asset, supporting potential value if fundamentals check out. However, the development match to the Tulsa Market District / NOMA residential hub was downgraded to No Clear Match due to 7.32-mile distance and only partial corridor name overlap, so no verified development upside can be counted. Surrounding value and crime risk are unknown, and ZIP is missing, which adds uncertainty and keeps this at a Mid Investment profile rather than Good Investment.",ZIP and surrounding value context unknown; crime risk estimate unknown; development upside not verified (No Clear Match despite initial corridor-based association); commercial use specifics and condition of improvements unknown; tax-auction status may imply title or lien complexities.,"Exact ZIP code; detailed land and building characteristics (size, age, condition, current use); zoning and allowable uses; surrounding property values and market rents; local crime and nuisance indicators; any environmental or right-of-way constraints beyond the noted RR R/W carve-out; confirmation of access and utilities.","Manually verify zoning and current use for 6834 N PEORIA AV E, then pull county assessor and GIS records to confirm building details, surrounding sales/values, and any encumbrances or right-of-way impacts; only after that should a more precise valuation versus the 4220.53 bid cost be made.",High
90329-03-29-41780,5.7,Mid Investment,True,Watch,False,nan,"Parcel 90329-03-29-41780 at 1504 N HARVARD AV E has a bid cost of 6614.00 and strong, high-confidence property data (extraction confidence High, geocode confidence High) with clear commercial improvement classification (C IMP). The corrected development match status is No Clear Match, so the Tulsa Market District / NOMA reference is not counted as verified upside. With a rule-based score of 5.7 (Mid Investment) and key uncertainties like unknown ZIP and unverified development benefit, this warrants manual review rather than a definitive investment judgment.","ZIP unknown; development upside not verified (corrected match No Clear Match); surrounding value and crime risk unknown; commercial improvement details (size, condition, use) not provided.",Exact ZIP code; building size and condition; current or prior use of the C IMP structure; zoning details; surrounding property values and market rents; crime and neighborhood stability indicators; any liens or title complications beyond tax status.,"Manually confirm zoning and building characteristics for 1504 N HARVARD AV E with Tulsa County records, then verify neighborhood comps and any concrete linkage to the Tulsa Market District / NOMA area before valuing the 6614.00 bid.",High
91236-12-36-47530,5.7,Mid Investment,True,Watch,False,nan,"Parcel 91236-12-36-47530 at 7002 N PEORIA AV E has clear address and property data (C IMP, strong clarity, high extraction and geocode confidence) and a modest bid cost of 7624.18, yielding a mid investment score of 5.7. However, the Tulsa Market District / NOMA development link was downgraded to No Clear Match due to distance and only partial corridor name overlap, so there is no confirmed development-driven upside. The combination of reasonable bid cost, clear parcel data, and unverified development potential makes this a candidate for deeper manual review rather than an automatic buy.",ZIP unknown; development upside not verified due to No Clear Match status; surrounding value and crime risk are unknown.,Exact ZIP code; detailed property characteristics beyond type C IMP; surrounding property value context; crime and neighborhood risk indicators; confirmation of any local development activity specifically affecting this parcel.,"Manually confirm parcel location and ZIP, obtain county assessor details on improvements and current use for 91236-12-36-47530, and review local planning or zoning records to see if any concrete projects or corridor plans directly impact 7002 N PEORIA AV E.",High
10175-93-02-01530,6.5,Mid Investment,True,Watch,False,nan,"Parcel 10175-93-02-01530 at 444 S 66 AV E has a bid cost of 5366.03 and is classified as R HS IMP with strong property clarity and complete address data. The corrected development match status is No Clear Match despite an initial possible association with the Tulsa Market District / NOMA residential hub, so development is not counted as a positive signal. Overall data and extraction confidence are High, supporting a Mid Investment classification and a Strong Manual Review Candidate flag for deeper due diligence.",ZIP unknown; development upside not verified; surrounding value and crime risk unknown.,"Exact ZIP code, surrounding property value context, crime risk, and any on-site condition details are not provided.","Manually confirm the precise location and ZIP, inspect recent sales or assessed values for nearby residential improved parcels, and verify any actual linkage or lack thereof to the Tulsa Market District / NOMA area before bidding.",High
44650-92-04-13070,6.9,Mid Investment,True,Watch,False,nan,"The rule-based score of 6.9 and category Strong Manual Review Candidate indicate this parcel merits further investigation. The bid cost of 3183.01 is relatively low for a residential improved (R HS IMP) property, and the address 4805 W ARCHER ST N has complete, high-confidence geocoding, supporting basic clarity of the asset. However, the development match to the Greenwood District was downgraded to No Clear Match after distance verification (3.36 miles), so no confirmed development-driven upside is available. With high overall data confidence but unknown ZIP and unverified surrounding value, the property fits a Mid Investment profile pending manual due diligence.",ZIP unknown; no verified development linkage to Greenwood District; surrounding value signal unknown; crime risk unknown; development upside not verified despite initial corridor name overlap.,Exact ZIP code; current physical condition of improvements; occupancy status; surrounding property values and comps; local crime and neighborhood stability indicators; any code violations or liens beyond tax status; zoning details and permitted uses for R HS IMP classification.,"Manually confirm the full mailing address including ZIP and zoning details for parcel 44650-92-04-13070, then pull county records and recent nearby sales to assess structure condition, occupancy, and neighborhood value trends before deciding bid limits.",High
53450-02-01-01960,6.5,Mid Investment,True,Watch,False,nan,"Parcel 53450-02-01-01960 at 5602 N PEORIA AV E has a bid cost of 4526.74 and is classified as C IMP with high extraction and geocode data confidence, yielding a rule-based score of 6.5 and a Strong Manual Review Candidate category. However, the corrected development match status is No Clear Match despite an initial possible corridor overlap with the Tulsa Market District / NOMA area, so development is not counted as verified upside.",ZIP and city are unknown; development upside is not verified (No Clear Match); surrounding value and crime risk are unknown; owner name is unknown.,"Exact ZIP and city; detailed property characteristics (size, condition, use); surrounding market values; crime and neighborhood risk indicators; confirmation of any nearby or related development activity.","Manually confirm the precise location and ZIP for 5602 N PEORIA AV E, then pull county records and mapping data to verify property characteristics and neighborhood context, and independently check for any concrete, nearby development plans beyond the unconfirmed Tulsa Market District / NOMA reference.",High
43775-93-05-22530,7.3,Mid Investment,True,Watch,True,"There is a High-confidence but only Possible Match to the Tulsa Market District / NOMA residential hub, with an estimated distance of about 2.08 miles and no verified proximity, so development is a moderate upside signal but not confirmed.","Parcel 43775-93-05-22530 at 208 S HARVARD AV E has a bid cost of 5098.15, clear R IMP property type, and High extraction/data confidence, supporting reliable basic screening. The development match to the Tulsa Market District / NOMA residential hub is classified as a High-confidence but only Possible Match (no distance-verified match at ~2.08 miles), so it offers medium, not strong, upside. The rule-based score of 7.3 and Strong Manual Review Candidate category, combined with complete address quality but unknown ZIP, justify a Mid Investment classification that warrants deeper manual review rather than an automatic purchase decision.","ZIP code unknown; development area only a Possible Match with no verified proximity; owner name unknown; tax-auction status may imply title, lien, or condition issues not visible in current data.","Exact ZIP code; detailed property characteristics (square footage, year built, condition); current market value and comps; title status and liens; zoning specifics; confirmation of actual proximity and linkage to the Tulsa Market District / NOMA residential hub.","Obtain a full title and lien report, confirm zoning and allowed uses for LT 5 BLK 11 at 208 S HARVARD AV E, and use mapping/GIS to verify true proximity and functional connection to the Tulsa Market District / NOMA residential hub before bidding.",High
13800-02-12-02160,6.9,Mid Investment,True,Watch,False,nan,"The rule-based score of 6.9 and category Strong Manual Review Candidate indicate this parcel merits further investigation. The bid cost of 3086.51 is relatively low for a residential improved property (R HS IMP), and the address at 4726 N FRANKFORT AV E has complete address quality and strong property clarity, with high overall data confidence. However, the development verification shows No Clear Match with low confidence, so there is no confirmed development-driven upside. Geocode confidence is only Medium and the ZIP is unknown, adding some location uncertainty. These factors support a Mid Investment classification that warrants manual review but not an automatic buy signal.","ZIP unknown; no verified development upside (No Clear Match, low confidence); only Medium geocode confidence; owner name unknown; surrounding value and crime risk are both Unknown.",Exact ZIP code; more precise location context (neighborhood and surroundings); current condition of improvements; market value and comps; title/encumbrance status; detailed crime and surrounding value data; confirmation of any nearby development not captured in current matching.,"Manually verify the precise location and ZIP for 4726 N FRANKFORT AV E, confirm parcel characteristics and improvement condition with county records or imagery, and pull recent comparable sales and assessed values to determine whether the 3086.51 bid cost offers sufficient margin given the absence of verified development upside.",High
