parcel_id,ai_area_adjusted_score,ai_area_adjusted_category,recommendation,reasoning_summary,crime_economic_summary,key_risks,missing_information,next_due_diligence_step,confidence_level
80610-84-11-13900,8.01,Top Candidate,Research First,Bid cost 1083.22 for parcel 80610-84-11-13900 at 802 N CEDAR AV W stays in Top Candidate because crime risk is Medium and median household income 70462.0; fallback confidence is High.,Crime signal is Medium with Low confidence. Economic risk is Low with High confidence.,Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High
63725-12-13-01480,7.52,Manual Review Candidate,Drive By,Bid cost 1303.24 for parcel 63725-12-13-01480 at 115 N FRANKFORT AV E stays in Manual Review Candidate because crime risk is Unknown and median household income 60216.0; fallback confidence is Medium.,Crime signal is Unknown with Unknown confidence. Economic risk is Low with High confidence.,No major pre-AI risk beyond normal tax-auction due diligence.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",Medium
52625-92-28-06480,7.43,Manual Review Candidate,Drive By,Bid cost 1294.53 for parcel 52625-92-28-06480 at 4311 W 43 ST S stays in Manual Review Candidate because crime risk is High and median household income 57845.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is Low with High confidence.,Area-level crime proxy is high risk. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High
00900-02-35-00210,7.2,Manual Review Candidate,Drive By,"The parcel at 1141 N BOSTON PL E, Tulsa (confirmed ZIP 74106) with a bid cost of 1197.21 has strong data quality (high property clarity and geocoding scores) and sits in a tract with solid economic indicators (median household income ~75k, relatively low unemployment, decent owner-occupancy). These factors support potential value at a low entry price. However, the only crime data available is a city-level proxy for Tulsa that indicates high crime risk, and there is no parcel-specific or 0.5-mile incident data. Because the crime signal is both negative and low-confidence, the property should not be auto-promoted but is still reasonable to keep in a Top 50 watchlist for deeper review.","Crime: City-level proxy for Tulsa shows high crime risk (NeighborhoodScout odds ~1 in 107 for violent crime and ~1 in 22 for property crime; Tulsa safer than only about 2% of U.S. cities). This is not parcel-specific and is low-confidence for this exact location, but it flags a meaningful safety concern. Economics: Census tract 900 shows relatively strong fundamentals for the area—median household income around 75,179 USD, poverty rate about 14.9%, unemployment about 5.3%, median home value about 178,600 USD, median gross rent about 1,323 USD, vacancy around 13.3%, and owner-occupied rate about 70.7%. These tract-level numbers suggest a reasonably stable housing market context despite the broader city crime concerns.","1) High city-level crime risk with no parcel- or neighborhood-specific incident data; 2) Unknown current property condition and occupancy for this R IMP parcel at a very low bid price, which may signal deferred maintenance or title/possession complications; 3) ZIP originally unknown and only later confirmed as 74106, indicating some initial data gaps; 4) Neighborhood-specific dynamics within Tulsa Census Tract 900 are not detailed, so block-level desirability and tenant quality are uncertain.","1) Parcel-level or 0.5-mile crime incident counts and recent trends; 2) On-the-ground property condition (structure integrity, repairs needed, signs of vacancy or vandalism); 3) Current occupancy/tenancy status and any visible encroachments; 4) Exact zoning/land-use constraints beyond the generic R IMP type; 5) Recent comparable sales and rents near 1141 N BOSTON PL E within the same tract; 6) Any code violations, liens, or demolition/condemnation history tied to this parcel.","Obtain parcel- or neighborhood-level crime and nuisance data (police incident logs or city open-data, if available) for the immediate area around 1141 N BOSTON PL E, then pair that with a drive-by or street-level imagery review to assess property condition, signs of occupancy, and block quality. If crime and condition appear acceptable relative to the low bid cost of 1197.21, follow with a check of county records for code violations, liens, and any demolition or condemnation actions before deciding whether it should remain in the final Top 50.",Medium
24675-03-31-13180,7.0,Manual Review Candidate,Drive By,"The parcel at 1427 N ST LOUIS AV E, Tulsa, OK 74106, with a bid cost of 1003.06, has strong property clarity and geocoding plus a high likelihood of being residential (R HS IMP). The tract-level economics are moderate: median household income around 60k, median home value about 86k, and a relatively high vacancy rate (~21.9%) with just over half of units owner-occupied. These support potential affordability and rental demand but also signal some neighborhood instability. The main negative is crime: the only available data is a city-level proxy for Tulsa indicating high crime risk, and this is low-confidence and not parcel-specific. Given the combination of good data quality, moderate economic context, and high but uncertain crime risk, the property remains a Manual Review Candidate rather than a clear Top Candidate.","Crime: City-level proxy for Tulsa indicates high crime risk (NeighborhoodScout odds ~1 in 107 for violent crime and ~1 in 22 for property crime; Tulsa reportedly safer than only about 2% of U.S. cities). However, this is low-confidence, city-wide data and not specific to the 0.5-mile area around the parcel. Economics: Census tract 1200 shows median household income of about 60,379, poverty rate of 17.6%, unemployment around 6.3%, median home value about 86,400, median gross rent about 964, vacancy rate about 21.85%, and owner-occupancy around 50.9%. This points to a working-class area with moderate economic strength but elevated vacancy and only moderate owner-occupancy, consistent with some investment potential but also higher neighborhood risk.","1) High crime risk at the city level with no reliable parcel- or neighborhood-level incident data; 2) Elevated vacancy rate (~21.9%) in the tract, which may reflect weaker housing demand or neighborhood distress; 3) Only about half of units are owner-occupied, suggesting more transient tenancy and potentially less neighborhood stability; 4) Owner name is unknown in the provided data, which may complicate title or redemption research; 5) ZIP and crime data are partially inferred or proxy-based, increasing uncertainty about true local conditions.","1) Parcel-level or at least sub-mile crime incident counts and trends; 2) Current physical condition of the structure at 1427 N ST LOUIS AV E (occupancy, visible damage, code violations); 3) Detailed title history, liens, and any municipal liens or special assessments; 4) Current market rent and recent sale comps specific to this micro-area of 74106; 5) Confirmation of utilities, access, and any zoning or code enforcement issues tied to this specific lot and improvement.","Obtain parcel-level crime and code-enforcement records for 1427 N ST LOUIS AV E (or at least a tight-radius incident search), then perform a drive-by or recent-street-imagery review to assess property condition and occupancy. In parallel, pull a title report and check for liens or demolition orders. If crime and condition are acceptable relative to the low bid cost (~$1,003), then compare local rent and sale comps to refine whether it merits promotion into the Top 50.",Medium
24925-02-36-17420,7.17,Manual Review Candidate,Drive By,Bid cost 1199.79 for parcel 24925-02-36-17420 at 1084 N NORFOLK AV E stays in Manual Review Candidate because crime risk is High and median household income 60379.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is Medium with High confidence.,Area-level crime proxy is high risk. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High
47100-03-31-17080,7.09,Manual Review Candidate,Drive By,Bid cost 1222.54 for parcel 47100-03-31-17080 at 1229 N ROCKFORD AV E stays in Manual Review Candidate because crime risk is High and median household income 60379.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is Medium with High confidence.,Area-level crime proxy is high risk. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High
15275-03-19-03980,7.08,Manual Review Candidate,Drive By,Bid cost 1131.88 for parcel 15275-03-19-03980 at 2819 N YORKTOWN AV E stays in Manual Review Candidate because crime risk is High and median household income 44485.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is Medium with High confidence.,Area-level crime proxy is high risk. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High
25575-03-19-05190,7.08,Manual Review Candidate,Drive By,Bid cost 1147.21 for parcel 25575-03-19-05190 at 2735 N QUINCY AV E stays in Manual Review Candidate because crime risk is High and median household income 44485.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is Medium with High confidence.,Area-level crime proxy is high risk. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High
24475-92-04-07370,7.03,Manual Review Candidate,Drive By,Bid cost 1042.31 for parcel 24475-92-04-07370 at 3820 W ADMIRAL BV S stays in Manual Review Candidate because crime risk is High and median household income 39786.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is Medium with High confidence.,Area-level crime proxy is high risk. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High
24925-02-36-17470,7.01,Manual Review Candidate,Drive By,Bid cost 1497.18 for parcel 24925-02-36-17470 at 1062 N NORFOLK AV E stays in Manual Review Candidate because crime risk is High and median household income 60379.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is Medium with High confidence.,Area-level crime proxy is high risk. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High
40925-92-26-01220,7.01,Manual Review Candidate,Drive By,Bid cost 1458.03 for parcel 40925-92-26-01220 at 4744 S TACOMA AV W stays in Manual Review Candidate because crime risk is High and median household income 43750.0; fallback confidence is High.,Crime signal is High with Low confidence. Economic risk is Medium with High confidence.,Area-level crime proxy is high risk. Crime context is low-confidence and city-level only.,Fallback used: Reasoning summary missing required concrete fields.,"Verify assessor details, title/liens, street-level condition, and whether the parcel is practically usable before bidding.",High
