parcel_id,final_rule_based_score,final_rule_based_category,final_bid_price_signal,final_address_quality_signal,final_property_clarity_signal,final_verified_development_signal,final_surrounding_value_signal,final_crime_risk_estimate,final_data_confidence,final_manual_review_flag,final_rule_based_reasoning,final_key_risks,downgraded_from_previous_good
92224-22-24-13020,7.7,Strong Manual Review Candidate,Strong,Complete,Strong,Medium,Possible Upside,Unknown,High,True,"Bid cost 3059.81, parcel_id 92224-22-24-13020, address quality Complete, property clarity Strong, corrected development match Possible Match, geocode confidence Medium, and final data confidence High produced a conservative score of 7.7.",ZIP unknown,False
11000-83-06-00270,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3946.95, parcel_id 11000-83-06-00270, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence High, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,True
91236-12-36-50430,6.5,Strong Manual Review Candidate,Moderate,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 4220.53, parcel_id 91236-12-36-50430, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence High, and final data confidence High produced a conservative score of 6.5.",ZIP unknown; development upside not verified,True
90329-03-29-41780,5.7,Mid Investment,Weak,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 6614.00, parcel_id 90329-03-29-41780, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence High, and final data confidence High produced a conservative score of 5.7.",ZIP unknown; development upside not verified,True
91236-12-36-47530,5.7,Mid Investment,Weak,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 7624.18, parcel_id 91236-12-36-47530, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence High, and final data confidence High produced a conservative score of 5.7.",ZIP unknown; development upside not verified,True
10175-93-02-01530,6.5,Strong Manual Review Candidate,Moderate,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 5366.03, parcel_id 10175-93-02-01530, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence High, and final data confidence High produced a conservative score of 6.5.",ZIP unknown; development upside not verified,False
44650-92-04-13070,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3183.01, parcel_id 44650-92-04-13070, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence High, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
53450-02-01-01960,6.5,Strong Manual Review Candidate,Moderate,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 4526.74, parcel_id 53450-02-01-01960, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence High, and final data confidence High produced a conservative score of 6.5.",ZIP unknown; development upside not verified,False
43775-93-05-22530,7.3,Strong Manual Review Candidate,Moderate,Complete,Strong,Medium,Possible Upside,Unknown,High,True,"Bid cost 5098.15, parcel_id 43775-93-05-22530, address quality Complete, property clarity Strong, corrected development match Possible Match, geocode confidence High, and final data confidence High produced a conservative score of 7.3.",ZIP unknown,False
13800-02-12-02160,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3086.51, parcel_id 13800-02-12-02160, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
37650-02-12-04530,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3271.21, parcel_id 37650-02-12-04530, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
38575-03-28-12560,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3480.31, parcel_id 38575-03-28-12560, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
40850-02-12-06130,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3005.03, parcel_id 40850-02-12-06130, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
34300-03-32-15230,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3005.69, parcel_id 34300-03-32-15230, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
29675-03-07-09890,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3010.10, parcel_id 29675-03-07-09890, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
41025-02-01-06220,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3015.03, parcel_id 41025-02-01-06220, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
34300-03-32-14790,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3029.62, parcel_id 34300-03-32-14790, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
29775-02-26-04910,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3047.69, parcel_id 29775-02-26-04910, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
41025-02-01-04500,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3047.69, parcel_id 41025-02-01-04500, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
26725-02-25-17680,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3047.69, parcel_id 26725-02-25-17680, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
44200-02-11-04390,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3075.02, parcel_id 44200-02-11-04390, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
47700-02-26-09610,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3082.54, parcel_id 47700-02-26-09610, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
36090-03-08-00970,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3087.69, parcel_id 36090-03-08-00970, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
34750-02-26-08160,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3097.02, parcel_id 34750-02-26-08160, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
19725-03-30-11560,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3098.35, parcel_id 19725-03-30-11560, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
78810-84-11-09860,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3103.20, parcel_id 78810-84-11-09860, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
23175-03-30-13610,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3115.02, parcel_id 23175-03-30-13610, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
90327-03-27-26880,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3120.35, parcel_id 90327-03-27-26880, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
25500-03-29-06000,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3123.68, parcel_id 25500-03-29-06000, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
53775-02-02-00220,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3140.32, parcel_id 53775-02-02-00220, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
23125-02-25-15350,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3140.35, parcel_id 23125-02-25-15350, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
40800-02-13-04700,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3142.35, parcel_id 40800-02-13-04700, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
07600-02-24-01200,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3152.35, parcel_id 07600-02-24-01200, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
44200-02-11-01790,6.9,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,True,"Bid cost 3153.01, parcel_id 44200-02-11-01790, address quality Complete, property clarity Strong, corrected development match No Clear Match, geocode confidence Medium, and final data confidence High produced a conservative score of 6.9.",ZIP unknown; development upside not verified,False
